,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.2345679012345679,0.8096774193548387,0.5806451612903226,0.88
1,1,0.34951456310679613,0.8177358490566038,0.44,0.8490566037735849
2,2,0.24545454545454545,0.7900635664101706,0.8032786885245902,0.6938775510204082
3,3,0.25,0.7952178030303029,0.8181818181818182,0.6875
4,4,0.18292682926829268,0.8215488215488215,0.8148148148148148,0.8181818181818182
5,5,0.24074074074074073,0.828360768175583,0.7407407407407407,0.7777777777777778
6,6,0.18691588785046728,0.8375706214689267,0.9152542372881356,0.6875
7,7,0.14516129032258066,0.8596837944664031,0.8695652173913043,0.8363636363636363
8,8,0.3181818181818182,0.5884097035040431,0.34285714285714286,0.9056603773584906
9,9,0.17557251908396945,0.8179442508710801,0.8902439024390244,0.7142857142857143
